 I    | PH(0 0), PH(0 1), PH(1 0), PH(1 1)  | PR(0 0), PR(0 1), PR(1 0), PR(1 1)  | AH(0), AH(1)  | AR(0), AR(1)
593|3.88368,0.0478935,0.0478935,0.0283703 | 10.6857,0.498454,0.498454,0.0347074 | -0.0585482,0.0024876 | -2.61673,-0.172783
594|3.8836,0.0478928,0.0478928,0.0283687 | 10.6879,0.498571,0.498571,0.0347127 | -0.0586585,0.00249116 | -2.61608,-0.172723
595|3.88352,0.0478921,0.0478921,0.0283671 | 10.6901,0.498689,0.498689,0.034718 | -0.0587685,0.0024947 | -2.61542,-0.172662
596|3.88345,0.0478914,0.0478914,0.0283655 | 10.6922,0.498807,0.498807,0.0347232 | -0.058878,0.00249823 | -2.61477,-0.172602
597|3.88337,0.0478908,0.0478908,0.0283639 | 10.6944,0.498924,0.498924,0.0347285 | -0.0589871,0.00250175 | -2.61411,-0.172541
598|3.88329,0.0478901,0.0478901,0.0283623 | 10.6966,0.499042,0.499042,0.0347338 | -0.0590958,0.00250525 | -2.61345,-0.17248
599|3.88321,0.0478894,0.0478894,0.0283608 | 10.6988,0.499159,0.499159,0.034739 | -0.0592041,0.00250874 | -2.61278,-0.172419
600|3.88314,0.0478887,0.0478887,0.0283592 | 10.701,0.499276,0.499276,0.0347443 | -0.059312,0.00251222 | -2.61211,-0.172358
601|3.88306,0.047888,0.047888,0.0283576 | 10.7031,0.499393,0.499393,0.0347495 | -0.0594195,0.00251568 | -2.61144,-0.172297
602|3.88298,0.0478873,0.0478873,0.028356 | 10.7053,0.49951,0.49951,0.0347548 | -0.0595265,0.00251913 | -2.61077,-0.172235
603|3.88291,0.0478866,0.0478866,0.0283544 | 10.7075,0.499627,0.499627,0.03476 | -0.0596332,0.00252257 | -2.61009,-0.172174
604|3.88283,0.0478859,0.0478859,0.0283528 | 10.7097,0.499743,0.499743,0.0347653 | -0.0597395,0.00252599 | -2.60941,-0.172112
605|3.88275,0.0478852,0.0478852,0.0283513 | 10.7118,0.49986,0.49986,0.0347705 | -0.0598453,0.0025294 | -2.60873,-0.17205
