 I    | PH(0 0), PH(0 1), PH(1 0), PH(1 1)  | PR(0 0), PR(0 1), PR(1 0), PR(1 1)  | AH(0), AH(1)  | AR(0), AR(1)
731|3.87449,0.0477862,0.0477862,0.0281663 | 10.9678,0.513568,0.513568,0.0353847 | -0.070108,0.00285563 | -2.49983,-0.163039
732|3.87444,0.0477853,0.0477853,0.0281649 | 10.9697,0.513669,0.513669,0.0353892 | -0.0701665,0.00285743 | -2.4988,-0.162959
733|3.87438,0.0477845,0.0477845,0.0281636 | 10.9715,0.513769,0.513769,0.0353937 | -0.0702247,0.00285923 | -2.49777,-0.162879
734|3.87433,0.0477836,0.0477836,0.0281622 | 10.9734,0.51387,0.51387,0.0353982 | -0.0702825,0.00286102 | -2.49674,-0.162799
735|3.87427,0.0477828,0.0477828,0.0281609 | 10.9753,0.51397,0.51397,0.0354027 | -0.0703401,0.00286279 | -2.4957,-0.162719
736|3.87422,0.0477819,0.0477819,0.0281595 | 10.9772,0.51407,0.51407,0.0354072 | -0.0703972,0.00286455 | -2.49467,-0.162639
737|3.87416,0.0477811,0.0477811,0.0281582 | 10.9791,0.51417,0.51417,0.0354117 | -0.0704541,0.0028663 | -2.49363,-0.162558
738|3.87411,0.0477802,0.0477802,0.0281569 | 10.9809,0.51427,0.51427,0.0354161 | -0.0705106,0.00286804 | -2.49259,-0.162478
739|3.87405,0.0477794,0.0477794,0.0281555 | 10.9828,0.51437,0.51437,0.0354206 | -0.0705668,0.00286976 | -2.49155,-0.162397
740|3.874,0.0477785,0.0477785,0.0281542 | 10.9847,0.514469,0.514469,0.035425 | -0.0706227,0.00287148 | -2.4905,-0.162316
741|3.87394,0.0477777,0.0477777,0.0281528 | 10.9865,0.514569,0.514569,0.0354295 | -0.0706782,0.00287318 | -2.48945,-0.162235
742|3.87389,0.0477768,0.0477768,0.0281515 | 10.9884,0.514668,0.514668,0.0354339 | -0.0707334,0.00287488 | -2.4884,-0.162154
743|3.87383,0.047776,0.047776,0.0281502 | 10.9903,0.514768,0.514768,0.0354384 | -0.0707882,0.00287656 | -2.48735,-0.162073
744|3.87378,0.0477751,0.0477751,0.0281488 | 10.9921,0.514867,0.514867,0.0354428 | -0.0708428,0.00287824 | -2.4863,-0.161992
745|3.87372,0.0477743,0.0477743,0.0281475 | 10.994,0.514966,0.514966,0.0354472 | -0.070897,0.0028799 | -2.48524,-0.161911
746|3.87367,0.0477734,0.0477734,0.0281462 | 10.9958,0.515064,0.515064,0.0354517 | -0.0709508,0.00288155 | -2.48418,-0.161829
747|3.87362,0.0477726,0.0477726,0.0281449 | 10.9977,0.515163,0.515163,0.0354561 | -0.0710044,0.00288318 | -2.48312,-0.161748
748|3.87356,0.0477717,0.0477717,0.0281435 | 10.9995,0.515262,0.515262,0.0354605 | -0.0710576,0.00288481 | -2.48206,-0.161666
749|3.87351,0.0477709,0.0477709,0.0281422 | 11.0014,0.51536,0.51536,0.0354649 | -0.0711105,0.00288642 | -2.481,-0.161584
750|3.87346,0.04777,0.04777,0.0281409 | 11.0032,0.515458,0.515458,0.0354693 | -0.0711631,0.00288802 | -2.47993,-0.161502
751|3.8734,0.0477691,0.0477691,0.0281396 | 11.0051,0.515557,0.515557,0.0354737 | -0.0712153,0.00288962 | -2.47886,-0.161421
752|3.87335,0.0477683,0.0477683,0.0281382 | 11.0069,0.515655,0.515655,0.0354781 | -0.0712673,0.0028912 | -2.47779,-0.161338
753|3.8733,0.0477674,0.0477674,0.0281369 | 11.0087,0.515753,0.515753,0.0354824 | -0.0713189,0.00289277 | -2.47672,-0.161256
754|3.87324,0.0477666,0.0477666,0.0281356 | 11.0106,0.51585,0.51585,0.0354868 | -0.0713701,0.00289432 | -2.47564,-0.161174
755|3.87319,0.0477657,0.0477657,0.0281343 | 11.0124,0.515948,0.515948,0.0354912 | -0.0714211,0.00289587 | -2.47456,-0.161092
756|3.87314,0.0477649,0.0477649,0.028133 | 11.0142,0.516045,0.516045,0.0354955 | -0.0714718,0.0028974 | -2.47348,-0.161009
757|3.87309,0.047764,0.047764,0.0281317 | 11.0161,0.516143,0.516143,0.0354999 | -0.0715221,0.00289893 | -2.4724,-0.160927
758|3.87303,0.0477631,0.0477631,0.0281304 | 11.0179,0.51624,0.51624,0.0355042 | -0.0715721,0.00290044 | -2.47132,-0.160844
759|3.87298,0.0477623,0.0477623,0.0281291 | 11.0197,0.516337,0.516337,0.0355086 | -0.0716218,0.00290194 | -2.47023,-0.160761
760|3.87293,0.0477614,0.0477614,0.0281278 | 11.0215,0.516434,0.516434,0.0355129 | -0.0716711,0.00290344 | -2.46914,-0.160678
761|3.87288,0.0477606,0.0477606,0.0281265 | 11.0233,0.516531,0.516531,0.0355172 | -0.0717202,0.00290492 | -2.46805,-0.160595
762|3.87283,0.0477597,0.0477597,0.0281252 | 11.0252,0.516628,0.516628,0.0355216 | -0.0717689,0.00290639 | -2.46696,-0.160512
763|3.87277,0.0477588,0.0477588,0.0281239 | 11.027,0.516724,0.516724,0.0355259 | -0.0718173,0.00290785 | -2.46587,-0.160429
764|3.87272,0.047758,0.047758,0.0281226 | 11.0288,0.516821,0.516821,0.0355302 | -0.0718654,0.0029093 | -2.46477,-0.160346
765|3.87267,0.0477571,0.0477571,0.0281213 | 11.0306,0.516917,0.516917,0.0355345 | -0.0719132,0.00291073 | -2.46367,-0.160262
766|3.87262,0.0477563,0.0477563,0.02812 | 11.0324,0.517013,0.517013,0.0355388 | -0.0719607,0.00291216 | -2.46257,-0.160179
767|3.87257,0.0477554,0.0477554,0.0281187 | 11.0342,0.517109,0.517109,0.0355431 | -0.0720078,0.00291357 | -2.46147,-0.160095
768|3.87252,0.0477545,0.0477545,0.0281174 | 11.036,0.517205,0.517205,0.0355474 | -0.0720547,0.00291498 | -2.46037,-0.160012
769|3.87247,0.0477537,0.0477537,0.0281161 | 11.0378,0.517301,0.517301,0.0355517 | -0.0721012,0.00291637 | -2.45926,-0.159928
770|3.87242,0.0477528,0.0477528,0.0281149 | 11.0396,0.517396,0.517396,0.0355559 | -0.0721474,0.00291776 | -2.45815,-0.159844
771|3.87237,0.0477519,0.0477519,0.0281136 | 11.0414,0.517492,0.517492,0.0355602 | -0.0721933,0.00291913 | -2.45704,-0.15976
772|3.87232,0.0477511,0.0477511,0.0281123 | 11.0432,0.517587,0.517587,0.0355645 | -0.0722389,0.00292049 | -2.45593,-0.159676
773|3.87227,0.0477502,0.0477502,0.028111 | 11.045,0.517682,0.517682,0.0355687 | -0.0722842,0.00292184 | -2.45482,-0.159592
774|3.87222,0.0477494,0.0477494,0.0281097 | 11.0468,0.517778,0.517778,0.035573 | -0.0723292,0.00292318 | -2.4537,-0.159508
775|3.87217,0.0477485,0.0477485,0.0281085 | 11.0485,0.517872,0.517872,0.0355772 | -0.0723739,0.00292451 | -2.45258,-0.159423
776|3.87212,0.0477476,0.0477476,0.0281072 | 11.0503,0.517967,0.517967,0.0355815 | -0.0724182,0.00292583 | -2.45146,-0.159339
777|3.87207,0.0477468,0.0477468,0.0281059 | 11.0521,0.518062,0.518062,0.0355857 | -0.0724623,0.00292713 | -2.45034,-0.159254
778|3.87202,0.0477459,0.0477459,0.0281047 | 11.0539,0.518157,0.518157,0.0355899 | -0.072506,0.00292843 | -2.44922,-0.15917
779|3.87197,0.047745,0.047745,0.0281034 | 11.0557,0.518251,0.518251,0.0355941 | -0.0725495,0.00292971 | -2.44809,-0.159085
780|3.87192,0.0477442,0.0477442,0.0281021 | 11.0574,0.518345,0.518345,0.0355984 | -0.0725926,0.00293099 | -2.44697,-0.159
781|3.87187,0.0477433,0.0477433,0.0281009 | 11.0592,0.518439,0.518439,0.0356026 | -0.0726355,0.00293225 | -2.44584,-0.158915
782|3.87182,0.0477424,0.0477424,0.0280996 | 11.061,0.518533,0.518533,0.0356068 | -0.072678,0.00293351 | -2.4447,-0.15883
783|3.87177,0.0477416,0.0477416,0.0280983 | 11.0627,0.518627,0.518627,0.035611 | -0.0727202,0.00293475 | -2.44357,-0.158745
784|3.87172,0.0477407,0.0477407,0.0280971 | 11.0645,0.518721,0.518721,0.0356152 | -0.0727622,0.00293599 | -2.44244,-0.15866
785|3.87167,0.0477398,0.0477398,0.0280958 | 11.0662,0.518815,0.518815,0.0356193 | -0.0728038,0.00293721 | -2.4413,-0.158575
786|3.87162,0.047739,0.047739,0.0280946 | 11.068,0.518908,0.518908,0.0356235 | -0.0728451,0.00293843 | -2.44016,-0.15849
787|3.87157,0.0477381,0.0477381,0.0280933 | 11.0698,0.519001,0.519001,0.0356277 | -0.0728861,0.00293963 | -2.43902,-0.158404
788|3.87153,0.0477372,0.0477372,0.0280921 | 11.0715,0.519095,0.519095,0.0356319 | -0.0729269,0.00294082 | -2.43788,-0.158319
789|3.87148,0.0477364,0.0477364,0.0280908 | 11.0733,0.519188,0.519188,0.035636 | -0.0729673,0.00294201 | -2.43673,-0.158233
790|3.87143,0.0477355,0.0477355,0.0280896 | 11.075,0.519281,0.519281,0.0356402 | -0.0730074,0.00294318 | -2.43559,-0.158147
791|3.87138,0.0477347,0.0477347,0.0280883 | 11.0767,0.519373,0.519373,0.0356443 | -0.0730472,0.00294434 | -2.43444,-0.158062
792|3.87133,0.0477338,0.0477338,0.0280871 | 11.0785,0.519466,0.519466,0.0356485 | -0.0730868,0.00294549 | -2.43329,-0.157976
793|3.87129,0.0477329,0.0477329,0.0280859 | 11.0802,0.519558,0.519558,0.0356526 | -0.073126,0.00294663 | -2.43214,-0.15789
794|3.87124,0.0477321,0.0477321,0.0280846 | 11.082,0.519651,0.519651,0.0356567 | -0.0731649,0.00294776 | -2.43098,-0.157804
795|3.87119,0.0477312,0.0477312,0.0280834 | 11.0837,0.519743,0.519743,0.0356608 | -0.0732036,0.00294887 | -2.42983,-0.157718
796|3.87114,0.0477303,0.0477303,0.0280821 | 11.0854,0.519835,0.519835,0.035665 | -0.073242,0.00294998 | -2.42867,-0.157632
797|3.8711,0.0477294,0.0477294,0.0280809 | 11.0872,0.519927,0.519927,0.0356691 | -0.07328,0.00295108 | -2.42751,-0.157545
798|3.87105,0.0477286,0.0477286,0.0280797 | 11.0889,0.520019,0.520019,0.0356732 | -0.0733178,0.00295217 | -2.42635,-0.157459
799|3.871,0.0477277,0.0477277,0.0280785 | 11.0906,0.520111,0.520111,0.0356773 | -0.0733553,0.00295324 | -2.42519,-0.157372
800|3.87095,0.0477268,0.0477268,0.0280772 | 11.0923,0.520202,0.520202,0.0356814 | -0.0733925,0.00295431 | -2.42402,-0.157286
801|3.87091,0.047726,0.047726,0.028076 | 11.0941,0.520294,0.520294,0.0356854 | -0.0734294,0.00295537 | -2.42286,-0.157199
802|3.87086,0.0477251,0.0477251,0.0280748 | 11.0958,0.520385,0.520385,0.0356895 | -0.073466,0.00295642 | -2.42169,-0.157113
803|3.87081,0.0477242,0.0477242,0.0280736 | 11.0975,0.520476,0.520476,0.0356936 | -0.0735023,0.00295746 | -2.42052,-0.157026
804|3.87077,0.0477234,0.0477234,0.0280723 | 11.0992,0.520567,0.520567,0.0356977 | -0.0735383,0.00295849 | -2.41935,-0.156939
805|3.87072,0.0477225,0.0477225,0.0280711 | 11.1009,0.520658,0.520658,0.0357017 | -0.0735741,0.0029595 | -2.41817,-0.156852
806|3.87068,0.0477216,0.0477216,0.0280699 | 11.1026,0.520749,0.520749,0.0357058 | -0.0736095,0.00296051 | -2.417,-0.156765
807|3.87063,0.0477208,0.0477208,0.0280687 | 11.1043,0.520839,0.520839,0.0357098 | -0.0736447,0.00296151 | -2.41582,-0.156678
808|3.87058,0.0477199,0.0477199,0.0280675 | 11.106,0.52093,0.52093,0.0357139 | -0.0736796,0.0029625 | -2.41464,-0.156591
809|3.87054,0.047719,0.047719,0.0280663 | 11.1077,0.52102,0.52102,0.0357179 | -0.0737142,0.00296348 | -2.41346,-0.156504
810|3.87049,0.0477182,0.0477182,0.0280651 | 11.1094,0.52111,0.52111,0.0357219 | -0.0737485,0.00296445 | -2.41228,-0.156416
811|3.87045,0.0477173,0.0477173,0.0280638 | 11.1111,0.5212,0.5212,0.035726 | -0.0737825,0.00296541 | -2.4111,-0.156329
812|3.8704,0.0477164,0.0477164,0.0280626 | 11.1128,0.52129,0.52129,0.03573 | -0.0738163,0.00296635 | -2.40991,-0.156241
813|3.87035,0.0477156,0.0477156,0.0280614 | 11.1145,0.52138,0.52138,0.035734 | -0.0738498,0.00296729 | -2.40873,-0.156154
814|3.87031,0.0477147,0.0477147,0.0280602 | 11.1162,0.52147,0.52147,0.035738 | -0.0738829,0.00296823 | -2.40754,-0.156066
815|3.87026,0.0477139,0.0477139,0.028059 | 11.1179,0.521559,0.521559,0.035742 | -0.0739159,0.00296914 | -2.40635,-0.155978
816|3.87022,0.047713,0.047713,0.0280578 | 11.1196,0.521649,0.521649,0.035746 | -0.0739485,0.00297005 | -2.40516,-0.155891
817|3.87017,0.0477121,0.0477121,0.0280566 | 11.1212,0.521738,0.521738,0.03575 | -0.0739808,0.00297095 | -2.40397,-0.155803
818|3.87013,0.0477113,0.0477113,0.0280555 | 11.1229,0.521827,0.521827,0.0357539 | -0.0740129,0.00297184 | -2.40277,-0.155715
819|3.87009,0.0477104,0.0477104,0.0280543 | 11.1246,0.521916,0.521916,0.0357579 | -0.0740447,0.00297272 | -2.40157,-0.155627
820|3.87004,0.0477095,0.0477095,0.0280531 | 11.1263,0.522005,0.522005,0.0357619 | -0.0740762,0.00297359 | -2.40038,-0.155539
821|3.87,0.0477087,0.0477087,0.0280519 | 11.1279,0.522094,0.522094,0.0357658 | -0.0741074,0.00297445 | -2.39918,-0.155451
822|3.86995,0.0477078,0.0477078,0.0280507 | 11.1296,0.522182,0.522182,0.0357698 | -0.0741384,0.0029753 | -2.39798,-0.155363
823|3.86991,0.0477069,0.0477069,0.0280495 | 11.1313,0.522271,0.522271,0.0357738 | -0.0741691,0.00297614 | -2.39677,-0.155274
824|3.86986,0.0477061,0.0477061,0.0280483 | 11.1329,0.522359,0.522359,0.0357777 | -0.0741995,0.00297697 | -2.39557,-0.155186
825|3.86982,0.0477052,0.0477052,0.0280472 | 11.1346,0.522447,0.522447,0.0357816 | -0.0742296,0.00297779 | -2.39436,-0.155097
826|3.86978,0.0477043,0.0477043,0.028046 | 11.1363,0.522535,0.522535,0.0357856 | -0.0742595,0.0029786 | -2.39316,-0.155009
827|3.86973,0.0477035,0.0477035,0.0280448 | 11.1379,0.522623,0.522623,0.0357895 | -0.0742891,0.00297941 | -2.39195,-0.15492
828|3.86969,0.0477026,0.0477026,0.0280436 | 11.1396,0.522711,0.522711,0.0357934 | -0.0743184,0.00298021 | -2.39074,-0.154832
829|3.86964,0.0477017,0.0477017,0.0280425 | 11.1412,0.522798,0.522798,0.0357973 | -0.0743475,0.00298099 | -2.38952,-0.154743
830|3.8696,0.0477009,0.0477009,0.0280413 | 11.1429,0.522886,0.522886,0.0358012 | -0.0743762,0.00298177 | -2.38831,-0.154654
831|3.86956,0.0477,0.0477,0.0280401 | 11.1445,0.522973,0.522973,0.0358051 | -0.0744047,0.00298253 | -2.38709,-0.154565
832|3.86951,0.0476992,0.0476992,0.0280389 | 11.1461,0.52306,0.52306,0.035809 | -0.074433,0.00298329 | -2.38588,-0.154477
833|3.86947,0.0476983,0.0476983,0.0280378 | 11.1478,0.523147,0.523147,0.0358129 | -0.0744609,0.00298403 | -2.38466,-0.154388
834|3.86943,0.0476974,0.0476974,0.0280366 | 11.1494,0.523234,0.523234,0.0358168 | -0.0744887,0.00298477 | -2.38344,-0.154299
835|3.86939,0.0476966,0.0476966,0.0280355 | 11.1511,0.523321,0.523321,0.0358207 | -0.0745161,0.00298549 | -2.38222,-0.154209
836|3.86934,0.0476957,0.0476957,0.0280343 | 11.1527,0.523408,0.523408,0.0358245 | -0.0745433,0.00298621 | -2.381,-0.15412
837|3.8693,0.0476948,0.0476948,0.0280331 | 11.1543,0.523494,0.523494,0.0358284 | -0.0745702,0.00298692 | -2.37977,-0.154031
838|3.86926,0.047694,0.047694,0.028032 | 11.1559,0.523581,0.523581,0.0358322 | -0.0745968,0.00298762 | -2.37855,-0.153942
839|3.86922,0.0476931,0.0476931,0.0280308 | 11.1576,0.523667,0.523667,0.0358361 | -0.0746232,0.00298831 | -2.37732,-0.153852
840|3.86917,0.0476923,0.0476923,0.0280297 | 11.1592,0.523753,0.523753,0.0358399 | -0.0746493,0.00298899 | -2.37609,-0.153763
841|3.86913,0.0476914,0.0476914,0.0280285 | 11.1608,0.523839,0.523839,0.0358438 | -0.0746752,0.00298967 | -2.37486,-0.153673
842|3.86909,0.0476905,0.0476905,0.0280274 | 11.1624,0.523925,0.523925,0.0358476 | -0.0747008,0.00299033 | -2.37363,-0.153584
843|3.86905,0.0476897,0.0476897,0.0280262 | 11.1641,0.52401,0.52401,0.0358514 | -0.0747261,0.00299098 | -2.3724,-0.153494
844|3.86901,0.0476888,0.0476888,0.0280251 | 11.1657,0.524096,0.524096,0.0358553 | -0.0747512,0.00299162 | -2.37116,-0.153405
845|3.86896,0.047688,0.047688,0.028024 | 11.1673,0.524181,0.524181,0.0358591 | -0.074776,0.00299226 | -2.36993,-0.153315
846|3.86892,0.0476871,0.0476871,0.0280228 | 11.1689,0.524267,0.524267,0.0358629 | -0.0748005,0.00299289 | -2.36869,-0.153225
847|3.86888,0.0476862,0.0476862,0.0280217 | 11.1705,0.524352,0.524352,0.0358667 | -0.0748248,0.00299351 | -2.36745,-0.153135
848|3.86884,0.0476854,0.0476854,0.0280205 | 11.1721,0.524437,0.524437,0.0358705 | -0.0748489,0.00299411 | -2.36621,-0.153045
849|3.8688,0.0476845,0.0476845,0.0280194 | 11.1737,0.524522,0.524522,0.0358743 | -0.0748727,0.00299471 | -2.36497,-0.152955
850|3.86876,0.0476837,0.0476837,0.0280183 | 11.1753,0.524606,0.524606,0.035878 | -0.0748962,0.0029953 | -2.36373,-0.152865
851|3.86872,0.0476828,0.0476828,0.0280171 | 11.1769,0.524691,0.524691,0.0358818 | -0.0749194,0.00299589 | -2.36248,-0.152775
852|3.86867,0.0476819,0.0476819,0.028016 | 11.1785,0.524775,0.524775,0.0358856 | -0.0749425,0.00299646 | -2.36124,-0.152685
853|3.86863,0.0476811,0.0476811,0.0280149 | 11.1801,0.52486,0.52486,0.0358894 | -0.0749652,0.00299702 | -2.35999,-0.152595
854|3.86859,0.0476802,0.0476802,0.0280138 | 11.1817,0.524944,0.524944,0.0358931 | -0.0749877,0.00299758 | -2.35874,-0.152505
855|3.86855,0.0476794,0.0476794,0.0280126 | 11.1832,0.525028,0.525028,0.0358969 | -0.07501,0.00299812 | -2.35749,-0.152414
856|3.86851,0.0476785,0.0476785,0.0280115 | 11.1848,0.525112,0.525112,0.0359006 | -0.075032,0.00299866 | -2.35624,-0.152324
857|3.86847,0.0476777,0.0476777,0.0280104 | 11.1864,0.525196,0.525196,0.0359043 | -0.0750537,0.00299919 | -2.35499,-0.152233
858|3.86843,0.0476768,0.0476768,0.0280093 | 11.188,0.525279,0.525279,0.0359081 | -0.0750752,0.00299971 | -2.35374,-0.152143
859|3.86839,0.047676,0.047676,0.0280082 | 11.1896,0.525363,0.525363,0.0359118 | -0.0750964,0.00300022 | -2.35248,-0.152052
860|3.86835,0.0476751,0.0476751,0.028007 | 11.1911,0.525446,0.525446,0.0359155 | -0.0751174,0.00300072 | -2.35123,-0.151962
861|3.86831,0.0476742,0.0476742,0.0280059 | 11.1927,0.525529,0.525529,0.0359192 | -0.0751382,0.00300121 | -2.34997,-0.151871
862|3.86827,0.0476734,0.0476734,0.0280048 | 11.1943,0.525612,0.525612,0.0359229 | -0.0751587,0.00300169 | -2.34871,-0.15178
863|3.86823,0.0476725,0.0476725,0.0280037 | 11.1958,0.525695,0.525695,0.0359266 | -0.075179,0.00300217 | -2.34745,-0.15169
864|3.86819,0.0476717,0.0476717,0.0280026 | 11.1974,0.525778,0.525778,0.0359303 | -0.075199,0.00300264 | -2.34619,-0.151599
865|3.86815,0.0476708,0.0476708,0.0280015 | 11.199,0.525861,0.525861,0.035934 | -0.0752187,0.0030031 | -2.34493,-0.151508
866|3.86811,0.04767,0.04767,0.0280004 | 11.2005,0.525943,0.525943,0.0359377 | -0.0752383,0.00300354 | -2.34366,-0.151417
867|3.86807,0.0476691,0.0476691,0.0279993 | 11.2021,0.526026,0.526026,0.0359414 | -0.0752575,0.00300399 | -2.3424,-0.151326
868|3.86803,0.0476683,0.0476683,0.0279982 | 11.2036,0.526108,0.526108,0.0359451 | -0.0752766,0.00300442 | -2.34113,-0.151235
869|3.86799,0.0476674,0.0476674,0.0279971 | 11.2052,0.52619,0.52619,0.0359487 | -0.0752954,0.00300484 | -2.33987,-0.151144
870|3.86796,0.0476666,0.0476666,0.027996 | 11.2067,0.526272,0.526272,0.0359524 | -0.0753139,0.00300525 | -2.3386,-0.151053
871|3.86792,0.0476657,0.0476657,0.0279949 | 11.2083,0.526354,0.526354,0.035956 | -0.0753322,0.00300566 | -2.33733,-0.150962
872|3.86788,0.0476649,0.0476649,0.0279938 | 11.2098,0.526436,0.526436,0.0359597 | -0.0753503,0.00300606 | -2.33606,-0.150871
873|3.86784,0.047664,0.047664,0.0279927 | 11.2113,0.526517,0.526517,0.0359633 | -0.0753681,0.00300645 | -2.33479,-0.150779
874|3.8678,0.0476632,0.0476632,0.0279916 | 11.2129,0.526599,0.526599,0.035967 | -0.0753857,0.00300684 | -2.33351,-0.150688
875|3.86776,0.0476623,0.0476623,0.0279906 | 11.2144,0.52668,0.52668,0.0359706 | -0.0754031,0.00300721 | -2.33224,-0.150597
876|3.86772,0.0476615,0.0476615,0.0279895 | 11.2159,0.526761,0.526761,0.0359742 | -0.0754202,0.00300757 | -2.33096,-0.150505
877|3.86768,0.0476606,0.0476606,0.0279884 | 11.2175,0.526842,0.526842,0.0359778 | -0.075437,0.00300793 | -2.32969,-0.150414
878|3.86765,0.0476598,0.0476598,0.0279873 | 11.219,0.526923,0.526923,0.0359814 | -0.0754537,0.00300828 | -2.32841,-0.150322
879|3.86761,0.047659,0.047659,0.0279862 | 11.2205,0.527004,0.527004,0.035985 | -0.0754701,0.00300862 | -2.32713,-0.150231
880|3.86757,0.0476581,0.0476581,0.0279852 | 11.222,0.527084,0.527084,0.0359886 | -0.0754862,0.00300895 | -2.32585,-0.150139
881|3.86753,0.0476573,0.0476573,0.0279841 | 11.2236,0.527165,0.527165,0.0359922 | -0.0755022,0.00300928 | -2.32457,-0.150048
882|3.86749,0.0476564,0.0476564,0.027983 | 11.2251,0.527245,0.527245,0.0359958 | -0.0755179,0.00300959 | -2.32329,-0.149956
883|3.86746,0.0476556,0.0476556,0.0279819 | 11.2266,0.527325,0.527325,0.0359994 | -0.0755334,0.00300989 | -2.322,-0.149864
884|3.86742,0.0476547,0.0476547,0.0279809 | 11.2281,0.527405,0.527405,0.0360029 | -0.0755486,0.00301019 | -2.32072,-0.149773
885|3.86738,0.0476539,0.0476539,0.0279798 | 11.2296,0.527485,0.527485,0.0360065 | -0.0755636,0.00301049 | -2.31943,-0.149681
886|3.86734,0.047653,0.047653,0.0279787 | 11.2311,0.527565,0.527565,0.0360101 | -0.0755784,0.00301077 | -2.31814,-0.149589
887|3.86731,0.0476522,0.0476522,0.0279777 | 11.2326,0.527645,0.527645,0.0360136 | -0.0755929,0.00301104 | -2.31686,-0.149497
888|3.86727,0.0476514,0.0476514,0.0279766 | 11.2341,0.527724,0.527724,0.0360172 | -0.0756072,0.00301131 | -2.31557,-0.149405
889|3.86723,0.0476505,0.0476505,0.0279756 | 11.2356,0.527804,0.527804,0.0360207 | -0.0756213,0.00301157 | -2.31428,-0.149313
890|3.8672,0.0476497,0.0476497,0.0279745 | 11.2371,0.527883,0.527883,0.0360242 | -0.0756352,0.00301181 | -2.31299,-0.149221
891|3.86716,0.0476488,0.0476488,0.0279735 | 11.2386,0.527962,0.527962,0.0360278 | -0.0756488,0.00301205 | -2.31169,-0.149129
892|3.86712,0.047648,0.047648,0.0279724 | 11.2401,0.528041,0.528041,0.0360313 | -0.0756622,0.00301229 | -2.3104,-0.149037
893|3.86709,0.0476472,0.0476472,0.0279713 | 11.2416,0.52812,0.52812,0.0360348 | -0.0756754,0.00301252 | -2.30911,-0.148945
894|3.86705,0.0476463,0.0476463,0.0279703 | 11.2431,0.528198,0.528198,0.0360383 | -0.0756883,0.00301274 | -2.30781,-0.148853
895|3.86701,0.0476455,0.0476455,0.0279692 | 11.2446,0.528277,0.528277,0.0360418 | -0.0757011,0.00301295 | -2.30652,-0.148761
896|3.86698,0.0476447,0.0476447,0.0279682 | 11.2461,0.528355,0.528355,0.0360453 | -0.0757136,0.00301316 | -2.30522,-0.148668
897|3.86694,0.0476438,0.0476438,0.0279672 | 11.2475,0.528434,0.528434,0.0360488 | -0.0757259,0.00301335 | -2.30392,-0.148576
898|3.8669,0.047643,0.047643,0.0279661 | 11.249,0.528512,0.528512,0.0360523 | -0.0757379,0.00301353 | -2.30262,-0.148484
899|3.86687,0.0476421,0.0476421,0.0279651 | 11.2505,0.52859,0.52859,0.0360558 | -0.0757498,0.00301371 | -2.30132,-0.148391
900|3.86683,0.0476413,0.0476413,0.027964 | 11.252,0.528668,0.528668,0.0360593 | -0.0757614,0.00301388 | -2.30002,-0.148299
901|3.8668,0.0476405,0.0476405,0.027963 | 11.2534,0.528745,0.528745,0.0360627 | -0.0757728,0.00301405 | -2.29872,-0.148207
902|3.86676,0.0476396,0.0476396,0.027962 | 11.2549,0.528823,0.528823,0.0360662 | -0.075784,0.0030142 | -2.29741,-0.148114
903|3.86672,0.0476388,0.0476388,0.0279609 | 11.2564,0.5289,0.5289,0.0360696 | -0.0757949,0.00301435 | -2.29611,-0.148022
904|3.86669,0.047638,0.047638,0.0279599 | 11.2578,0.528978,0.528978,0.0360731 | -0.0758057,0.00301449 | -2.2948,-0.147929
905|3.86665,0.0476371,0.0476371,0.0279589 | 11.2593,0.529055,0.529055,0.0360765 | -0.0758162,0.00301462 | -2.2935,-0.147837
906|3.86662,0.0476363,0.0476363,0.0279578 | 11.2607,0.529132,0.529132,0.03608 | -0.0758265,0.00301475 | -2.29219,-0.147744
907|3.86658,0.0476355,0.0476355,0.0279568 | 11.2622,0.529209,0.529209,0.0360834 | -0.0758366,0.00301487 | -2.29088,-0.147652
908|3.86655,0.0476347,0.0476347,0.0279558 | 11.2636,0.529286,0.529286,0.0360868 | -0.0758465,0.00301498 | -2.28957,-0.147559
909|3.86651,0.0476338,0.0476338,0.0279548 | 11.2651,0.529362,0.529362,0.0360902 | -0.0758561,0.00301508 | -2.28826,-0.147466
910|3.86648,0.047633,0.047633,0.0279538 | 11.2665,0.529439,0.529439,0.0360936 | -0.0758656,0.00301517 | -2.28695,-0.147374
911|3.86644,0.0476322,0.0476322,0.0279527 | 11.268,0.529515,0.529515,0.036097 | -0.0758748,0.00301526 | -2.28564,-0.147281
912|3.86641,0.0476313,0.0476313,0.0279517 | 11.2694,0.529591,0.529591,0.0361004 | -0.0758839,0.00301534 | -2.28433,-0.147188
913|3.86637,0.0476305,0.0476305,0.0279507 | 11.2709,0.529667,0.529667,0.0361038 | -0.0758927,0.00301541 | -2.28302,-0.147095
914|3.86634,0.0476297,0.0476297,0.0279497 | 11.2723,0.529743,0.529743,0.0361072 | -0.0759013,0.00301548 | -2.2817,-0.147002
915|3.8663,0.0476289,0.0476289,0.0279487 | 11.2737,0.529819,0.529819,0.0361106 | -0.0759097,0.00301554 | -2.28039,-0.14691
916|3.86627,0.0476281,0.0476281,0.0279477 | 11.2752,0.529895,0.529895,0.036114 | -0.0759178,0.00301559 | -2.27907,-0.146817
917|3.86623,0.0476272,0.0476272,0.0279467 | 11.2766,0.52997,0.52997,0.0361173 | -0.0759258,0.00301563 | -2.27776,-0.146724
